id,report_id:id,name,description,expression,sequence,style_id:id,type,accumulation_method,auto_expand_accounts,auto_expand_accounts_style_id:id
vit_mis_kpi1000,vit_profit_balance.vit_mis_report2,revenue,Revenue,AccountingNone,1,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1001,vit_profit_balance.vit_mis_report2,service_participants,Service Participants,-balp[41%],2,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1002,vit_profit_balance.vit_mis_report2,sales_channel,Sales & Channel,-balp[42%],3,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1003,vit_profit_balance.vit_mis_report2,general_service,General Service,-balp[43%],4,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1004,vit_profit_balance.vit_mis_report2,telco_infra_structure,Telco Infra Structure,-balp[44%],5,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1005,vit_profit_balance.vit_mis_report2,packaging,Packaging,AccountingNone,6,vit_mis_kisel.vit_style_2,num,none,FALSE,
vit_mis_kpi1006,vit_profit_balance.vit_mis_report2,default,Default,AccountingNone,7,vit_mis_kisel.vit_style_2,num,none,FALSE,
vit_mis_kpi1007,vit_profit_balance.vit_mis_report2,total_revenue,Total Revenue,service_participants + sales_channel + general_service + telco_infra_structure + packaging + default,8,vit_mis_kisel.vit_style_5,num,none,FALSE,
vit_mis_kpi1008,vit_profit_balance.vit_mis_report2,cogs,COGS,AccountingNone,9,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1009,vit_profit_balance.vit_mis_report2,cogs_service_participants,Service Participants,balp[5%],10,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1010,vit_profit_balance.vit_mis_report2,cogs_sales_channel,Sales & Channel,balp[5%],11,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1011,vit_profit_balance.vit_mis_report2,cogs_general_service,General Service,balp[5%],12,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1012,vit_profit_balance.vit_mis_report2,cogs_telco_infra_structure,Telco Infra Structure,balp[5%],13,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1013,vit_profit_balance.vit_mis_report2,cogs_packaging,Packaging,AccountingNone,14,vit_mis_kisel.vit_style_2,num,none,FALSE,
